DeveloperName	MasterLabel	Dialing_Code__c	Country__c
Nicaragua	Nicaragua	505	Nicaragua
Niger Republic	Niger Republic	227	Niger Republic
Nigeria	Nigeria	234	Nigeria
Norway	Norway	47	Norway
North Korea	North Korea	850	North Korea
Oman	Oman	968	Oman
Pakistan	Pakistan	92	Pakistan
Panama	Panama	507	Panama
Papua New Guinea	Papua New Guinea	675	Papua New Guinea
Paraguay	Paraguay	595	Paraguay
Peru	Peru	51	Peru
Philippines	Philippines	63	Philippines
Pitcairn Island	Pitcairn Island	649	Pitcairn Island
Poland	Poland	48	Poland
Portugal	Portugal	351	Portugal
Puerto Rico	Puerto Rico	+1 787	Puerto Rico
Qatar	Qatar	974	Qatar
Romania	Romania	40	Romania
Russia	Russia	7	Russia
Rwanda	Rwanda	250	Rwanda
St Helena	St Helena	290	St Helena
St Kitts and Nevis	St Kitts and Nevis	+1 869	St Kitts and Nevis
St Lucia	St Lucia	+1 758	St Lucia
St Vincent	St Vincent	+1 784	St Vincent
San Marino	San Marino	378	San Marino
Saudi Arabia	Saudi Arabia	966	Saudi Arabia
Senegal	Senegal	221	Senegal
Serbia	Serbia	381	Serbia
Seychelles	Seychelles	248	Seychelles
Sierra Leone	Sierra Leone	232	Sierra Leone
Singapore	Singapore	65	Singapore
Slovakia	Slovakia	421	Slovakia
Slovenia	Slovenia	386	Slovenia
Solomon Islands	Solomon Islands	677	Solomon Islands
Somalia	Somalia	252	Somalia
South Africa	South Africa	27	South Africa
South Korea	South Korea	82	South Korea
Spain	Spain	349	Spain
Sri Lanka	Sri Lanka	94	Sri Lanka
Sudan	Sudan	249	Sudan
Surinam	Surinam	597	Surinam
Swaziland	Swaziland	268	Swaziland
Sweden	Sweden	46	Sweden
Switzerland	Switzerland	41	Switzerland
Syria	Syria	963	Syria
Taiwan	Taiwan	886	Taiwan
Tajikistan	Tajikistan	7	Tajikistan
Tanzania	Tanzania	255	Tanzania
Thailand	Thailand	66	Thailand
Togo	Togo	228	Togo
Tonga	Tonga	676	Tonga
Trinidad & Tobago	Trinidad & Tobago	+1 868	Trinidad & Tobago
Tunisia	Tunisia	216	Tunisia
Turkey	Turkey	90	Turkey
Turkmenistan	Turkmenistan	7	Turkmenistan
Turks & Caicos Islands	Turks & Caicos Islands	1649	Turks & Caicos Islands
Tuvalu	Tuvalu	688	Tuvalu
Uganda	Uganda	256	Uganda
Ukraine	Ukraine	380	Ukraine
United Arab Emirates	United Arab Emirates	971	United Arab Emirates
United Kingdom	United Kingdom	44	United Kingdom
Uraguay	Uraguay	598	Uraguay
USA	USA	1	USA
Uzbekistan	Uzbekistan	998	Uzbekistan
Vanuatu	Vanuatu	678	Vanuatu
Vatican City	Vatican City	39	Vatican City
Venezuela	Venezuela	58	Venezuela
Vietnam	Vietnam	84	Vietnam
Virgin Islands (US)	Virgin Islands (US)	1340	Virgin Islands (US)
Western Samoa	Western Samoa	685	Western Samoa
Yemen	Yemen	967	Yemen
Zaire (Congo)	Zaire (Congo)	243	Zaire (Congo)
Zambia	Zambia	260	Zambia
Zimbabwe	Zimbabwe	263	Zimbabwe
